,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
14,15,2018-05-02,(日),札幌,4-0,4,0,H,ノエスタ,18725,晴,63,44,0.24,29,0.138,0.586,25.9,17.43,105.04,13.39,"['ウェリントンx2', '渡邉x2']",吉田　孝行
15,16,2018-07-18,(水),長崎,1-0,1,0,A,トラスタ,9366,晴,57,69,0.193,17,0.059,0.572,21.86,17.77,67.0,10.67,['ウェリントン'],吉田　孝行
16,17,2018-07-22,(日),湘南,0-3,0,3,H,ノエスタ,26146,晴,45,45,0.078,9,0.0,0.657,18.54,14.52,70.69,13.29,[''],吉田　孝行
17,18,2018-07-28,(土),柏,1-0,1,0,H,ノエスタ,22879,曇,45,52,0.143,16,0.063,0.582,17.27,14.93,100.6,17.35,['増山'],吉田　孝行
18,19,2018-08-01,(水),Ｃ大阪,1-1,1,1,A,金鳥スタ,14241,晴,62,50,0.089,10,0.0,0.603,23.18,17.89,83.13,10.76,['OG'],吉田　孝行
19,20,2018-08-05,(日),FC東京,0-1,0,1,A,味スタ,44801,晴,32,44,0.093,10,0.0,0.563,15.59,13.37,82.12,17.34,[''],吉田　孝行
20,21,2018-08-11,(土),磐田,2-1,2,1,H,ノエスタ,24731,晴,49,49,0.158,16,0.125,0.636,20.49,16.6,68.46,9.28,"['アンドレスイニエスタ', '古橋']",吉田　孝行
21,22,2018-08-15,(水),広島,1-1,1,1,H,ノエスタ,25499,雨のち曇,28,38,0.107,9,0.111,0.57,17.89,15.4,63.26,15.63,['アンドレスイニエスタ'],吉田　孝行
22,23,2018-08-19,(日),湘南,2-0,2,0,A,ＢＭＷス,15351,晴,40,32,0.075,9,0.222,0.499,12.61,10.37,39.81,24.37,"['三田', '郷家']",吉田　孝行
23,24,2018-08-26,(日),横浜FM,0-2,0,2,H,ノエスタ,25541,晴,61,57,0.151,19,0.0,0.605,21.37,17.6,115.34,12.72,[''],吉田　孝行
24,25,2018-09-01,(土),札幌,1-3,1,3,A,札幌ド,32475,屋内,50,45,0.084,8,0.125,0.525,17.1,14.98,64.76,13.94,['長沢'],吉田　孝行
25,26,2018-09-15,(土),Ｇ大阪,1-2,1,2,H,ノエスタ,25485,曇,50,46,0.125,15,0.067,0.588,18.43,13.9,92.15,11.1,['古橋'],吉田　孝行
26,27,2018-09-23,(日),浦和,0-4,0,4,A,埼玉,55689,晴,34,43,0.059,6,0.0,0.633,18.13,14.6,65.84,9.66,[''],林　健太郎
27,28,2018-09-29,(土),鹿島,0-5,0,5,H,ノエスタ,23774,屋内,42,45,0.065,7,0.0,0.583,17.0,14.56,68.27,9.3,[''],林　健太郎
28,29,2018-10-06,(土),長崎,1-1,1,1,H,ノエスタ,22349,晴,56,39,0.162,18,0.056,0.687,24.81,18.89,55.83,13.78,['三原'],フアン　マヌエル　リージョ
29,30,2018-10-02,(土),川崎Ｆ,3-5,3,5,A,等々力,24441,雨のち曇,39,36,0.086,9,0.222,0.479,16.71,14.02,75.69,14.09,"['古橋', '三田', 'OG']",フアン　マヌエル　リージョ
30,31,2018-11-03,(土),名古屋,2-1,2,1,A,豊田ス,41044,曇のち晴,60,47,0.158,16,0.125,0.555,22.03,18.59,97.78,12.76,['ルーカスポドルスキx2'],フアン　マヌエル　リージョ
31,32,2018-11-01,(土),鳥栖,0-0,0,0,H,ノエスタ,26603,晴,44,41,0.104,13,0.0,0.636,17.11,14.17,80.35,12.84,[''],フアン　マヌエル　リージョ
32,33,2018-11-24,(土),清水,3-3,3,3,A,アイスタ,20109,晴,36,34,0.089,10,0.3,0.533,11.89,9.49,56.02,27.18,"['藤田', '古橋', '三田']",フアン　マヌエル　リージョ
33,34,2018-12-01,(土),仙台,3-2,3,2,H,ノエスタ,24517,晴,55,42,0.186,19,0.158,0.641,33.92,30.44,91.89,13.76,"['古橋', 'アンドレスイニエスタ', '郷家']",フアン　マヌエル　リージョ
