date,kashima-antlers,jef-united,urawa-red-diamonds,yokohama-fa-marinos,shimizu-s-pulse,nagoya-grampus-eight,gamba-osaka,sanfrecce-hiroshima,jubilo-iwata,kawasaki-frontale,fc-tokyo,omiya-ardija,ventforet-kofu,oita-trinita,albirex-niigata,vissel-kobe,kashiwa-reysol,yokohama-fc
2007-06-19,24,13,27,21,22,22,34,21,24,24,17,14,14,16,23,20,23,10
2007-06-20,24,13,27,21,22,22,34,21,24,24,17,14,14,16,23,20,23,10
2007-06-21,27,16,30,22,25,22,35,22,25,25,20,15,14,16,26,20,23,10
2007-06-22,27,16,30,22,25,22,35,22,25,25,20,15,14,16,26,20,23,10
2007-06-23,27,16,30,22,25,22,35,22,25,25,20,15,14,16,26,20,23,10
2007-06-24,27,16,33,22,25,22,38,22,28,25,20,15,17,16,29,23,26,10
2007-06-25,30,16,33,23,25,22,38,22,28,25,20,16,17,16,29,23,26,10
2007-06-26,30,16,33,23,25,22,38,22,28,25,20,16,17,16,29,23,26,10
2007-06-27,30,16,33,23,25,22,38,22,28,25,20,16,17,16,29,23,26,10
2007-06-28,30,16,33,23,25,22,38,22,28,25,20,16,17,16,29,23,26,10
2007-06-29,30,16,33,23,25,22,38,22,28,25,20,16,17,16,29,23,26,10
2007-06-30,30,16,33,23,25,22,38,22,28,25,20,16,17,16,29,23,26,10
2007-07-01,30,19,36,26,28,23,41,22,28,28,23,16,18,16,32,23,26,10
2007-07-02,30,19,36,26,28,23,41,22,28,28,23,16,18,16,32,23,26,10
2007-07-03,30,19,36,26,28,23,41,22,28,28,23,16,18,16,32,23,26,10
2007-07-04,30,19,36,26,28,23,41,22,28,28,23,16,18,16,32,23,26,10
2007-07-05,30,19,36,26,28,23,41,22,28,28,23,16,18,16,32,23,26,10
2007-07-06,30,19,36,26,28,23,41,22,28,28,23,16,18,16,32,23,26,10
2007-07-07,30,19,36,26,28,23,41,22,28,28,23,16,18,16,32,23,26,10
2007-07-08,30,19,36,26,28,23,41,22,28,28,23,16,18,16,32,23,26,10
2007-07-09,30,19,36,26,28,23,41,22,28,28,23,16,18,16,32,23,26,10
2007-07-10,30,19,36,26,28,23,41,22,28,28,23,16,18,16,32,23,26,10
2007-07-11,30,19,36,26,28,23,41,22,28,28,23,16,18,16,32,23,26,10
2007-07-12,30,19,36,26,28,23,41,22,28,28,23,16,18,16,32,23,26,10
2007-07-13,30,19,36,26,28,23,41,22,28,28,23,16,18,16,32,23,26,10
2007-07-14,30,19,36,26,28,23,41,22,28,28,23,16,18,16,32,23,26,10
2007-07-15,30,19,36,26,28,23,41,22,28,28,23,16,18,16,32,23,26,10
