,HomeShots,HomeShotsOnTarget,HomeShotsFromPK,HomePasses,HomeCrosses,HomeDirectFK,HomeIndirectFK,HomeCK,HomeThrowin,HomeDribbling,HomeTackles,HomeClearances,HomeIntercepts,HomeOffsides,HomeYellowCards,HomeRedCards,Home30mLineEntries,HomePenaltyAreaEntries,HomeAttacks,HomeChanceBuildingRate,HomePossession,AwayShots,AwayShotsOnTarget,AwayShotsFromPK,AwayPasses,AwayCrosses,AwayDirectFK,AwayIndirectFK,AwayCK,AwayThrowin,AwayDribbling,AwayTackles,AwayClearances,AwayIntercepts,AwayOffsides,AwayYellowCards,AwayRedCards,Away30mLineEntries,AwayPenaltyAreaEntries,AwayAttacks,AwayChanceBuildingRate,AwayPossession
15175408,27.0,14.0,0.0,473.0,18.0,12.0,3.0,9.0,23.0,11.0,11.0,30.0,0.0,2.0,1.0,0.0,61.0,31.0,139.0,19.4,52.6,11.0,1.0,0.0,454.0,18.0,13.0,2.0,2.0,17.0,6.0,12.0,22.0,2.0,3.0,0.0,0.0,37.0,14.0,123.0,8.9,47.4
15172909,22.0,5.0,0.0,401.0,23.0,12.0,0.0,8.0,27.0,10.0,21.0,34.0,1.0,1.0,0.0,0.0,63.0,17.0,132.0,16.7,52.6,19.0,8.0,0.0,358.0,7.0,12.0,1.0,4.0,25.0,13.0,15.0,38.0,4.0,0.0,0.0,0.0,34.0,12.0,131.0,14.5,47.4
15172207,15.0,8.0,0.0,378.0,19.0,16.0,3.0,4.0,32.0,14.0,18.0,28.0,2.0,3.0,0.0,0.0,41.0,18.0,126.0,11.9,45.4,12.0,3.0,0.0,525.0,15.0,10.0,4.0,7.0,24.0,11.0,16.0,29.0,2.0,3.0,2.0,0.0,51.0,7.0,118.0,10.2,54.6
15171805,16.0,4.0,0.0,370.0,18.0,10.0,1.0,6.0,20.0,17.0,39.0,27.0,0.0,1.0,1.0,0.0,40.0,14.0,112.0,14.3,44.7,18.0,4.0,0.0,555.0,7.0,13.0,1.0,2.0,33.0,11.0,29.0,18.0,4.0,1.0,2.0,0.0,37.0,11.0,120.0,15.0,55.3
15173310,15.0,2.0,0.0,445.0,20.0,8.0,1.0,4.0,19.0,11.0,14.0,20.0,4.0,1.0,1.0,0.0,35.0,15.0,106.0,14.2,46.3,18.0,6.0,1.0,563.0,15.0,12.0,1.0,5.0,18.0,12.0,12.0,15.0,4.0,1.0,1.0,0.0,37.0,13.0,107.0,16.8,53.7
15011208,21.0,9.0,0.0,406.0,18.0,4.0,1.0,9.0,25.0,15.0,18.0,23.0,0.0,1.0,0.0,0.0,43.0,21.0,129.0,16.3,50.1,11.0,5.0,0.0,464.0,16.0,17.0,1.0,3.0,27.0,7.0,34.0,24.0,0.0,0.0,1.0,0.0,32.0,17.0,126.0,8.7,49.9
15015410,20.0,10.0,1.0,586.0,24.0,12.0,2.0,5.0,28.0,17.0,14.0,15.0,1.0,1.0,0.0,0.0,66.0,27.0,114.0,17.5,56.8,8.0,6.0,0.0,414.0,14.0,7.0,1.0,1.0,17.0,10.0,14.0,31.0,2.0,2.0,0.0,0.0,32.0,9.0,103.0,7.8,43.2
15012122,16.0,7.0,0.0,662.0,7.0,20.0,2.0,4.0,13.0,14.0,22.0,28.0,4.0,5.0,1.0,0.0,32.0,7.0,116.0,13.8,64.1,9.0,2.0,0.0,290.0,8.0,10.0,5.0,6.0,24.0,16.0,15.0,9.0,3.0,2.0,1.0,0.0,30.0,12.0,114.0,7.9,35.9
15017801,17.0,6.0,0.0,406.0,11.0,14.0,4.0,6.0,34.0,14.0,26.0,12.0,3.0,1.0,1.0,0.0,45.0,19.0,152.0,11.2,47.8,9.0,5.0,0.0,421.0,16.0,15.0,1.0,6.0,23.0,18.0,22.0,17.0,1.0,4.0,0.0,0.0,42.0,17.0,142.0,6.3,52.2
15010529,19.0,5.0,0.0,577.0,10.0,18.0,1.0,5.0,34.0,15.0,24.0,14.0,2.0,2.0,2.0,0.0,39.0,16.0,132.0,14.4,61.2,6.0,2.0,0.0,342.0,10.0,9.0,2.0,0.0,25.0,6.0,26.0,19.0,3.0,0.0,4.0,0.0,30.0,2.0,121.0,5.0,38.8
15011133,14.0,3.0,1.0,603.0,22.0,10.0,3.0,2.0,31.0,14.0,10.0,18.0,0.0,2.0,1.0,0.0,52.0,16.0,116.0,12.1,62.7,6.0,3.0,0.0,291.0,7.0,9.0,2.0,7.0,22.0,6.0,14.0,26.0,3.0,2.0,3.0,0.0,20.0,11.0,123.0,4.9,37.3
15010718,6.0,1.0,0.0,431.0,24.0,7.0,2.0,7.0,28.0,4.0,21.0,23.0,3.0,1.0,2.0,0.0,37.0,11.0,136.0,4.4,43.9,16.0,10.0,0.0,560.0,20.0,14.0,1.0,4.0,28.0,15.0,29.0,29.0,5.0,2.0,0.0,0.0,51.0,19.0,137.0,11.7,56.1
15014603,15.0,3.0,0.0,237.0,20.0,12.0,1.0,10.0,23.0,10.0,19.0,32.0,1.0,2.0,2.0,0.0,32.0,17.0,117.0,12.8,32.2,11.0,2.0,0.0,580.0,18.0,10.0,2.0,8.0,19.0,13.0,14.0,32.0,2.0,1.0,3.0,0.0,51.0,20.0,123.0,8.9,67.8
15010928,16.0,5.0,1.0,551.0,14.0,8.0,1.0,4.0,24.0,13.0,16.0,20.0,1.0,1.0,0.0,0.0,44.0,12.0,118.0,13.6,51.2,16.0,6.0,0.0,476.0,14.0,6.0,1.0,3.0,23.0,10.0,23.0,20.0,3.0,0.0,2.0,0.0,42.0,12.0,120.0,13.3,48.8
15023321,17.0,4.0,1.0,356.0,16.0,5.0,1.0,7.0,13.0,12.0,18.0,16.0,3.0,3.0,1.0,0.0,39.0,13.0,100.0,17.0,42.9,9.0,2.0,0.0,629.0,10.0,11.0,4.0,1.0,9.0,12.0,12.0,24.0,2.0,1.0,1.0,0.0,40.0,11.0,95.0,9.5,57.1
