節,開催日,,相手,スコア,,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
15,6.15,(土),横浜FM,3-2,H,アイスタ,"12,360",雨,56,51,11.8%,14,21.4%,31.8%,8.80,6.48,77.77,13.52,"松原,ドウグラス,西澤",篠田　善之
16,6.22,(土),名古屋,2-1,A,パロ瑞穂,"19,501",晴,47,36,10.5%,12,16.7%,34.5%,10.03,7.25,83.64,18.24,"ドウグラス,西澤",篠田　善之
17,6.30,(日),鳥栖,2-4,A,駅スタ,"8,698",雨,51,40,19.6%,22,9.1%,52.4%,17.67,13.26,77.35,13.74,"ドウグラス,Ｒアウグスト",篠田　善之
18,7.6,(土),神戸,2-1,H,アイスタ,"15,420",曇のち雨,57,64,10.9%,12,16.7%,36.4%,10.60,8.48,89.21,12.92,"北川,ドウグラス",篠田　善之
19,7.13,(土),Ｇ大阪,0-1,A,パナスタ,"25,719",雨,52,43,9.9%,11,0.0%,42.5%,15.68,12.47,87.63,15.45,,篠田　善之
20,7.20,(土),FC東京,0-2,H,アイスタ,"15,750",曇,58,35,9.9%,10,0.0%,46.8%,14.77,10.82,49.18,11.40,,篠田　善之
21,8.3,(土),横浜FM,1-0,A,日産ス,"30,898",晴,38,45,7.8%,9,11.1%,30.5%,5.25,3.58,81.26,19.38,西澤,篠田　善之
22,8.10,(土),松本,1-0,H,アイスタ,"16,017",晴,47,53,13.9%,14,7.1%,45.7%,12.03,9.48,73.90,16.40,ドウグラス,篠田　善之
23,8.17,(土),札幌,0-8,H,アイスタ,"14,340",晴,48,48,10.8%,12,0.0%,52.7%,14.42,11.05,57.08,15.22,,篠田　善之
24,8.24,(土),川崎Ｆ,2-2,A,等々力,"24,398",晴,39,35,7.5%,7,28.6%,35.4%,7.07,6.21,54.92,25.26,"ドウグラス,Ｒアウグスト",篠田　善之
25,9.1,(日),鹿島,0-4,H,アイスタ,"15,480",晴,54,47,17.1%,19,0.0%,53.3%,14.14,11.46,71.15,10.91,,篠田　善之
26,9.13,(金),名古屋,3-2,H,アイスタ,"15,019",晴,48,39,8.4%,9,33.3%,40.4%,9.13,7.67,55.93,22.09,"河井,西澤x2",篠田　善之
27,9.29,(日),湘南,6-0,A,ＢＭＷス,"12,042",晴,55,37,14.3%,16,37.5%,52.5%,17.70,14.54,74.95,21.47,"エウシーニョx2,河井,西澤x2,ドウグラス",篠田　善之
28,10.6,(日),浦和,1-2,A,埼玉,"34,131",晴,41,53,5.9%,6,16.7%,39.1%,9.03,7.51,68.62,14.66,ドウグラス,篠田　善之
29,10.19,(土),広島,1-2,H,アイスタ,"11,572",雨,43,30,7.6%,9,11.1%,38.4%,11.61,9.93,79.83,21.97,ドウグラス,篠田　善之
30,11.2,(土),磐田,1-2,H,アイスタ,"17,762",晴,57,31,8.9%,9,0.0%,28.5%,6.71,4.74,40.64,17.79,OG,篠田　善之
31,11.10,(日),仙台,0-2,A,ユアスタ,"15,553",晴,57,36,10.2%,13,0.0%,60.3%,21.48,15.34,86.15,14.91,,篠田　善之
32,11.23,(土),大分,1-1,H,アイスタ,"16,747",晴,67,68,21.2%,25,4.0%,42.5%,19.95,15.15,88.63,11.10,Ｊドゥトラ,篠田　善之
33,11.30,(土),Ｃ大阪,1-2,A,ヤンマー,"21,562",晴,61,36,6.7%,8,12.5%,37.7%,9.89,9.00,83.50,18.93,エウシーニョ,篠田　善之
34,12.7,(土),鳥栖,1-0,H,アイスタ,"15,756",曇,56,43,8.3%,11,9.1%,51.9%,14.36,10.39,87.72,21.50,ドウグラス,篠田　善之
