節,開催日,,相手,スコア,,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
16,9.12,(土),神戸,2-2,A,ノエスタ,"4,102",晴,53,54,8.3%,9,22.2%,37.7%,12.84,10.05,87.99,13.06,"アダイウトン,Ｄオリヴェイラ",長谷川　健太
24,9.16,(水),大分,2-3,H,味スタ,"4,782",曇,55,61,18.6%,21,9.5%,46.7%,18.45,14.94,84.60,10.93,"レアンドロ,品田",長谷川　健太
17,9.20,(日),仙台,1-0,H,味スタ,"4,981",曇,48,53,9.8%,12,8.3%,44.1%,10.77,10.03,102.51,14.91,三田,長谷川　健太
18,9.23,(水),Ｃ大阪,2-0,H,味スタ,"4,316",雨,56,62,12.6%,13,15.4%,34.9%,11.94,9.85,82.46,12.11,"Ｄオリヴェイラ,アダイウトン",長谷川　健太
19,9.27,(日),鳥栖,0-3,A,駅スタ,"4,434",晴,55,58,9.7%,12,0.0%,45.8%,15.59,11.50,100.07,9.72,,長谷川　健太
29,9.30,(水),浦和,1-0,A,埼玉,"5,623",晴,54,50,8.3%,10,10.0%,41.8%,11.74,10.29,102.56,14.80,永井,長谷川　健太
20,10.4,(日),湘南,1-0,A,ＢＭＷス,"4,691",曇,50,58,7.2%,10,10.0%,47.7%,12.67,9.00,119.23,13.72,アダイウトン,長谷川　健太
21,10.10,(土),Ｇ大阪,0-1,H,味スタ,"8,166",雨,65,59,11.3%,18,0.0%,53.7%,12.19,10.92,103.08,13.57,,長谷川　健太
22,10.14,(水),清水,3-1,H,味スタ,"3,812",曇,53,49,11.9%,14,21.4%,43.8%,10.92,9.34,103.47,11.08,"田川,永井,アダイウトン",長谷川　健太
23,10.18,(日),横浜FC,0-1,A,ニッパツ,"5,163",曇,62,62,19.8%,25,0.0%,42.5%,12.85,9.22,101.72,8.78,,長谷川　健太
28,10.24,(土),横浜FM,0-4,H,味スタ,"9,518",晴,58,47,13.6%,18,0.0%,38.3%,16.12,10.28,112.34,14.28,,長谷川　健太
30,10.28,(水),柏,1-3,H,味スタ,"6,632",曇,57,52,12.1%,17,5.9%,48.5%,19.79,16.68,107.76,15.09,アダイウトン,長谷川　健太
25,10.31,(土),川崎Ｆ,1-2,A,等々力,"11,061",晴,49,23,9.3%,10,10.0%,36.1%,10.30,8.17,72.72,14.94,Ｄオリヴェイラ,長谷川　健太
33,11.11,(水),札幌,1-0,H,味スタ,"6,357",晴,47,37,9.0%,11,9.1%,42.9%,7.62,6.96,103.12,19.69,永井,長谷川　健太
27,11.15,(日),名古屋,0-1,A,豊田ス,"16,709",曇,39,48,6.1%,7,0.0%,47.8%,12.54,10.14,87.70,13.50,,長谷川　健太
32,11.18,(水),仙台,2-2,A,ユアスタ,"3,030",曇,52,46,8.4%,10,20.0%,46.7%,15.17,11.58,85.51,18.55,"レアンドロ,高萩",長谷川　健太
31,12.12,(土),広島,1-0,H,味スタ,"9,755",晴時々曇,56,29,5.9%,7,14.3%,40.5%,11.62,10.30,71.15,24.50,中村帆,長谷川　健太
34,12.19,(土),神戸,1-0,H,味スタ,"14,373",晴時々曇,55,68,11.6%,14,7.1%,41.9%,12.30,10.80,105.78,12.09,ジョアンオマリ,長谷川　健太
