節,開催日,曜日,相手,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
23,2019-08-18,(日),松本,1-1,1,1,0,1,サンアル,18311,晴,53,45,0.08,9,0.111,0.666,22.16,18.67,64.28,10.57,['赤崎'],風間　八宏
24,2019-08-24,(土),横浜FM,1-5,1,5,2,0,パロ瑞穂,20130,曇,64,44,0.115,13,0.077,0.48,21.76,16.17,71.76,9.82,['ジョー'],風間　八宏
25,2019-08-03,(金),FC東京,1-2,1,2,2,0,パロ瑞穂,20188,雨,45,41,0.088,10,0.1,0.595,18.82,16.56,62.06,14.58,['前田'],風間　八宏
26,2019-09-13,(金),清水,2-3,2,3,2,1,アイスタ,15019,晴,61,52,0.168,19,0.105,0.596,22.11,18.83,75.49,12.68,"['宮原', '長谷川']",風間　八宏
27,2019-09-28,(土),広島,1-1,1,1,0,1,Ｅスタ,10880,晴,46,45,0.046,4,0.25,0.388,17.87,16.51,52.08,15.99,['前田'],マッシモ　フィッカデンティ
28,2019-10-05,(土),大分,1-1,1,1,0,0,パロ瑞穂,17648,晴,64,70,0.208,21,0.048,0.506,28.86,23.62,93.21,7.01,['赤崎'],マッシモ　フィッカデンティ
29,2019-10-19,(土),仙台,0-2,0,2,2,0,パロ瑞穂,15485,曇時々雨,67,54,0.157,16,0.0,0.626,30.93,25.03,72.45,14.63,[''],マッシモ　フィッカデンティ
30,2019-11-02,(土),札幌,0-3,0,3,2,1,札幌ド,19943,屋内,51,60,0.078,8,0.0,0.411,13.54,11.15,61.94,9.8,[''],マッシモ　フィッカデンティ
31,2019-11-09,(土),神戸,3-0,3,0,1,0,豊田ス,37194,晴,47,29,0.059,6,0.5,0.385,11.5,8.54,64.21,22.91,"['和泉', '前田x2']",マッシモ　フィッカデンティ
32,2019-11-23,(土),鳥栖,0-0,0,0,0,0,豊田ス,26124,晴,48,51,0.08,8,0.0,0.493,13.78,11.97,78.72,14.6,[''],マッシモ　フィッカデンティ
33,2019-11-03,(土),磐田,1-2,1,2,2,1,ヤマハ,14963,晴,55,41,0.13,15,0.067,0.386,13.54,10.92,86.34,15.96,['長谷川'],マッシモ　フィッカデンティ
34,2019-12-07,(土),鹿島,0-1,0,1,2,0,豊田ス,33133,曇,42,49,0.07,8,0.0,0.575,17.31,15.65,98.58,11.02,[''],マッシモ　フィッカデンティ
