節,開催日,曜日,相手,スコア,得点,失点,勝敗,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
14,2018-05-12,(土),京都,1-0,1,0,1,0,鳴門大塚,4713,晴,42,58,0.077,10,0.1,0.563,14.36,11.05,110.16,13.42,['小西'],リカルド　ロドリゲス
15,2018-05-02,(日),金沢,0-0,0,0,0,1,石川西部,4004,晴,60,49,0.09,12,0.0,0.565,18.93,15.24,95.45,15.31,[''],リカルド　ロドリゲス
16,2018-05-26,(土),松本,1-1,1,1,0,0,鳴門大塚,5312,晴,68,49,0.188,22,0.045,0.675,26.67,19.29,84.38,9.87,['島屋'],リカルド　ロドリゲス
17,2018-06-02,(土),福岡,0-1,0,1,2,1,レベスタ,8598,晴,55,46,0.103,12,0.0,0.582,14.61,12.04,40.58,10.63,[''],リカルド　ロドリゲス
18,2018-06-01,(日),町田,1-2,1,2,2,0,鳴門大塚,3615,雨,64,44,0.119,17,0.059,0.626,20.09,14.73,81.94,10.86,['島屋'],リカルド　ロドリゲス
19,2018-06-16,(土),山口,1-2,1,2,2,0,鳴門大塚,4828,晴,54,41,0.101,14,0.071,0.548,18.99,16.07,82.25,14.92,['石井'],リカルド　ロドリゲス
20,2018-06-23,(土),山形,2-3,2,3,2,1,ＮＤスタ,6012,曇,50,46,0.089,11,0.182,0.635,23.34,20.4,87.7,7.3,"['島屋', '山崎']",リカルド　ロドリゲス
21,2018-06-03,(土),大分,3-0,3,0,1,0,鳴門大塚,4491,曇,52,53,0.113,11,0.273,0.439,16.43,13.51,68.63,14.25,"['岩尾', '島屋', '山崎']",リカルド　ロドリゲス
22,2018-07-07,(土),熊本,1-0,1,0,1,0,鳴門大塚,2974,雨,46,71,0.13,12,0.083,0.524,18.58,16.71,85.55,12.9,['ブエノ'],リカルド　ロドリゲス
23,2018-07-15,(日),愛媛,0-1,0,1,2,1,ニンスタ,5319,晴,62,75,0.204,21,0.0,0.595,28.3,24.23,71.34,7.06,[''],リカルド　ロドリゲス
24,2018-07-21,(土),大宮,2-1,2,1,1,0,鳴門大塚,5801,晴,57,55,0.125,15,0.133,0.449,16.21,11.99,80.48,15.27,"['前川', '岩尾']",リカルド　ロドリゲス
25,2018-07-25,(水),福岡,3-1,3,1,1,0,鳴門大塚,3787,晴,53,48,0.189,21,0.143,0.439,17.47,13.84,75.7,13.06,"['岩尾', 'ピーターウタカx2']",リカルド　ロドリゲス
27,2018-08-04,(土),水戸,1-0,1,0,1,0,鳴門大塚,4457,晴,59,39,0.15,16,0.063,0.439,17.76,14.45,74.64,20.93,['島屋'],リカルド　ロドリゲス
28,2018-08-12,(日),山口,2-2,2,2,0,1,みらスタ,7354,晴,54,39,0.067,9,0.222,0.521,17.55,14.55,75.5,15.24,"['岩尾', '島屋']",リカルド　ロドリゲス
29,2018-08-18,(土),山形,5-1,5,1,1,0,鳴門大塚,4673,晴,55,51,0.197,23,0.217,0.539,19.55,14.02,90.19,13.41,"['前川', 'バラルx4']",リカルド　ロドリゲス
26,2018-08-22,(水),岡山,1-2,1,2,2,1,Ｃスタ,5034,晴,58,40,0.1,11,0.091,0.624,28.41,23.21,64.4,13.06,['岩尾'],リカルド　ロドリゲス
30,2018-08-25,(土),大分,1-0,1,0,1,1,大銀ド,8738,晴,35,25,0.043,4,0.25,0.343,10.16,8.03,59.41,25.71,['小西'],リカルド　ロドリゲス
31,2018-09-01,(土),讃岐,4-0,4,0,1,1,ピカスタ,4446,曇,64,63,0.128,14,0.286,0.52,21.26,16.86,58.74,15.84,"['バラル', '前川', 'ピーターウタカ', '小西']",リカルド　ロドリゲス
32,2018-09-08,(土),栃木,4-1,4,1,1,0,鳴門大塚,3917,雨,56,52,0.154,19,0.211,0.563,17.1,11.85,66.19,16.64,"['バラルx2', 'ピーターウタカx2']",リカルド　ロドリゲス
33,2018-09-15,(土),岐阜,2-1,2,1,1,0,鳴門大塚,4773,曇,55,54,0.14,15,0.133,0.387,15.49,10.98,64.19,16.12,"['バラル', '表原']",リカルド　ロドリゲス
34,2018-09-22,(土),町田,1-1,1,1,0,1,町田,3524,晴,44,33,0.071,9,0.111,0.535,9.37,7.86,53.05,17.8,['ピーターウタカ'],リカルド　ロドリゲス
36,2018-10-07,(日),金沢,0-3,0,3,2,0,鳴門大塚,4897,晴,43,37,0.07,9,0.0,0.61,15.27,13.84,100.16,14.98,[''],リカルド　ロドリゲス
37,2018-10-13,(土),京都,0-1,0,1,2,1,西京極,5930,晴,62,56,0.174,21,0.0,0.611,26.93,21.19,61.94,10.65,[''],リカルド　ロドリゲス
35,2018-10-16,(火),甲府,0-1,0,1,2,0,鳴門大塚,3217,曇,44,56,0.06,7,0.0,0.491,16.11,12.61,75.75,15.11,[''],リカルド　ロドリゲス
38,2018-10-21,(日),東京Ｖ,1-2,1,2,2,1,味スタ,5873,晴,54,49,0.175,20,0.05,0.535,22.28,18.01,109.02,12.43,['バラル'],リカルド　ロドリゲス
39,2018-10-28,(日),横浜FC,0-1,0,1,2,0,鳴門大塚,5848,晴,41,59,0.054,6,0.0,0.569,15.48,12.89,81.0,10.98,[''],リカルド　ロドリゲス
40,2018-11-04,(日),千葉,0-2,0,2,2,1,フクアリ,7202,曇のち雨,30,34,0.111,13,0.0,0.594,13.6,11.94,71.08,15.15,[''],リカルド　ロドリゲス
41,2018-11-11,(日),新潟,0-0,0,0,0,0,鳴門大塚,5735,晴,66,66,0.14,16,0.0,0.595,25.18,21.47,79.59,10.81,[''],リカルド　ロドリゲス
42,2018-11-17,(土),松本,0-0,0,0,0,1,サンアル,19066,晴,27,43,0.049,6,0.0,0.613,14.1,13.26,84.62,13.46,[''],リカルド　ロドリゲス
